ID;Localidad   ;C¢digos Postales;Superficie;Poblacion;Densidad
1;Usaquen;110111-110151;65.54;503.767;7.686,40
2;Chapinero;110211-110231;35.78;139.701;3.904,44
3;Santa Fe;110311-110321;44.82;109.195;2.436,30
4;San Crist¢bal;110411-110441;48.83;402.554;8.243,98
5;Usme;110511-110571;122.63;457.302;3.729,12
6;Tunjuelito;110611-110621;10.79;217.139;20.124,11
7;Bosa;110711-110741;24.22;681.234;28.126,91
8;Kennedy;110811-110881;38.72;1.092.110;28.205,31
9;Fontib¢n;110911-110931;33.32;395.122;11.858,41
10;Engativa;111011-111071;36.06;891.530;24.723,52
11;Suba;111111-111176;101.07;1.124.692;11.127,85
12;Barrios Unidos;111211-111221;11.92;243.874;20.459,24
13;Teusaquillo;111311-111321;14.2;153.133;10,784
14;Los Martires;111411;6.53;99.423;15.225,65
15;Antonio Narino;111511;4.99;111.637;22.372,12
16;Puente Aranda;111611-111631;17.24;257.242;14.921,25
17;La Candelaria;111711;1.83;24.088;13.162,84
18;Rafael Uribe Uribe;111811-111841;13.44;374.246;27.845,68
19;Ciudad Bol¡var;111911-111981;130.0;733.859;5.645,06
20;Sumapaz;112011-112041;780.96;6.529;8,36
